2024-10-15 20:01:02,059 - INFO - Gefundene lokale IP-Adresse: 192.168.2.122
2024-10-15 20:01:02,061 - INFO - Gefundene lokale IP-Adresse: 192.168.2.122
2024-10-15 20:01:08,095 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 86
2024-10-15 20:01:08,096 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 9
2024-10-15 20:01:08,108 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 87
2024-10-15 20:01:08,120 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 88
2024-10-15 20:01:08,133 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 89
2024-10-15 20:01:08,145 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 90
2024-10-15 20:01:08,156 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 91
2024-10-15 20:01:08,166 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 92
2024-10-15 20:01:08,177 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 93
2024-10-15 20:01:08,188 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 94
2024-10-15 20:01:08,198 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 95
2024-10-15 20:01:08,201 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 10
2024-10-15 20:01:08,209 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 96
2024-10-15 20:01:08,220 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 97
2024-10-15 20:01:08,230 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 98
2024-10-15 20:01:08,243 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 99
2024-10-15 20:01:08,254 - INFO - Nachricht an ('192.168.2.168', 40394) gesendet: Server Nachricht 100
2024-10-15 20:01:08,316 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 11
2024-10-15 20:01:08,421 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 12
2024-10-15 20:01:08,526 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 13
2024-10-15 20:01:08,631 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 14
2024-10-15 20:01:08,735 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 15
2024-10-15 20:01:08,841 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 16
2024-10-15 20:01:08,945 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 17
2024-10-15 20:01:09,049 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 18
2024-10-15 20:01:09,154 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 19
2024-10-15 20:01:09,259 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 20
2024-10-15 20:01:09,364 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 21
2024-10-15 20:01:09,468 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 22
2024-10-15 20:01:09,573 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 23
2024-10-15 20:01:09,677 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 24
2024-10-15 20:01:09,788 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 25
2024-10-15 20:01:09,893 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 26
2024-10-15 20:01:09,998 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 27
2024-10-15 20:01:10,103 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 28
2024-10-15 20:01:10,208 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 29
2024-10-15 20:01:10,312 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 30
2024-10-15 20:01:10,416 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 31
2024-10-15 20:01:10,520 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 32
2024-10-15 20:01:10,627 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 33
2024-10-15 20:01:10,731 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 34
2024-10-15 20:01:10,835 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 35
2024-10-15 20:01:10,940 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 36
2024-10-15 20:01:11,045 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 37
2024-10-15 20:01:11,149 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 38
2024-10-15 20:01:11,254 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 39
2024-10-15 20:01:11,358 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 40
2024-10-15 20:01:11,463 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 41
2024-10-15 20:01:11,574 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 42
2024-10-15 20:01:11,673 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 43
2024-10-15 20:01:11,778 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 44
2024-10-15 20:01:11,883 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 45
2024-10-15 20:01:11,987 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 46
2024-10-15 20:01:12,065 - INFO - Broadcast Nachricht gesendet: 192.168.2.122:50000
2024-10-15 20:01:12,088 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 47
2024-10-15 20:01:12,196 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 48
2024-10-15 20:01:12,302 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 49
2024-10-15 20:01:12,406 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 50
2024-10-15 20:01:12,511 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 51
2024-10-15 20:01:12,615 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 52
2024-10-15 20:01:12,722 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 53
2024-10-15 20:01:12,824 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 54
2024-10-15 20:01:12,930 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 55
2024-10-15 20:01:13,033 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 56
2024-10-15 20:01:13,138 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 57
2024-10-15 20:01:13,244 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 58
2024-10-15 20:01:13,348 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 59
2024-10-15 20:01:13,452 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 60
2024-10-15 20:01:13,557 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 61
2024-10-15 20:01:13,661 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 62
2024-10-15 20:01:13,766 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 63
2024-10-15 20:01:13,871 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 64
2024-10-15 20:01:13,975 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 65
2024-10-15 20:01:14,079 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 66
2024-10-15 20:01:14,184 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 67
2024-10-15 20:01:14,289 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 68
2024-10-15 20:01:14,393 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 69
2024-10-15 20:01:14,499 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 70
2024-10-15 20:01:14,604 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 71
2024-10-15 20:01:14,708 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 72
2024-10-15 20:01:14,814 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 73
2024-10-15 20:01:14,918 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 74
2024-10-15 20:01:15,020 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 75
2024-10-15 20:01:15,128 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 76
2024-10-15 20:01:15,233 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 77
2024-10-15 20:01:15,338 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 78
2024-10-15 20:01:15,443 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 79
2024-10-15 20:01:15,548 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 80
2024-10-15 20:01:15,656 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 81
2024-10-15 20:01:15,759 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 82
2024-10-15 20:01:15,862 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 83
2024-10-15 20:01:15,966 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 84
2024-10-15 20:01:16,071 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 85
2024-10-15 20:01:16,176 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 86
2024-10-15 20:01:16,280 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 87
2024-10-15 20:01:16,385 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 88
2024-10-15 20:01:16,490 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 89
2024-10-15 20:01:16,594 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 90
2024-10-15 20:01:16,699 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 91
2024-10-15 20:01:16,803 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 92
2024-10-15 20:01:16,908 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 93
2024-10-15 20:01:17,013 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 94
2024-10-15 20:01:17,068 - INFO - Broadcast Nachricht gesendet: 192.168.2.122:50000
2024-10-15 20:01:17,118 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 95
2024-10-15 20:01:17,222 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 96
2024-10-15 20:01:17,327 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 97
2024-10-15 20:01:17,431 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 98
2024-10-15 20:01:17,536 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 99
2024-10-15 20:01:17,641 - INFO - Empfangene Nachricht von ('192.168.2.168', 40394): 100
2024-10-15 20:01:19,582 - INFO - Verbindung mit ('192.168.2.168', 40394) geschlossen.
2024-10-15 20:01:22,070 - INFO - Broadcast Nachricht gesendet: 192.168.2.122:50000
2024-10-15 20:01:23,328 - INFO - Server wird heruntergefahren.
